City,Region,Country,Postal Code,Latitude,Longitude,Timezone,ISP,Organization,Autonomous System
City of Westminster,England,United Kingdom,SW1,51.5,-0.1,Europe/London,Trustmarque Solutions Ltd,Trustmarque Solutions Limited,AS196744 Capita Business Services Ltd
Warangal,Telangana,India,506003,18.0,79.6,Asia/Kolkata,BSNL Internet,,AS9829 National Internet Backbone
The Hague,South Holland,The Netherlands,2597,52.1,4.3,Europe/Amsterdam,GEMNET,Gemnet B.V.,
Guangzhou,Guangdong,China,,23.1,113.3,Asia/Shanghai,CERNET,,AS4538 China Education and Research Network Center
Perth,Western Australia,Australia,6112,-32.2,116.0,Australia/Perth,Australian Academic and Research Network,Murdoch Univ,AS7575 Australian Academic and Research Network (AARNet)
Kansas City,Missouri,United States,64121,39.1,-94.6,America/Chicago,"AT&T Services, Inc.",Private Customer - AT&T Internet Services,"AS7018 AT&T Services, Inc."
Miami,Florida,United States,33142,25.8,-80.2,America/New_York,"Comcast Cable Communications, LLC","Comcast Cable Communications, LLC","AS20214 Comcast Cable Communications, LLC"
Torreón,Coahuila,Mexico,27000,25.5,-103.4,America/Monterrey,Uninet S.A. de C.V.,UNINET,AS8151 UNINET
Palo Alto,California,United States,94304,37.4,-122.1,America/Los_Angeles,HP Inc.,HP Inc,
Chuo,Tokyo,Japan,289-2614,35.7,139.8,Asia/Tokyo,JR East Information Systems Company,JR East Japan Information Systems Company,AS131932 JR East Information Systems Company
,,,,,,,,,
Whitehall,Ohio,United States,43218,40.0,-82.9,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Seattle,Washington,United States,98108,47.6,-122.3,America/Los_Angeles,Amazon.com,"Amazon.com, Inc",
Geumsan-gun,Chungcheongnam-do,South Korea,327,36.1,127.5,Asia/Seoul,CMB,CMB Chungcheong Broadcasting,AS38133 CMB
Chiyoda,Tokyo,Japan,100-8111,35.7,139.8,Asia/Tokyo,DION (KDDI CORPORATION),KDDI,AS2516 KDDI CORPORATION
Chennai,Tamil Nadu,India,600001,13.1,80.3,Asia/Kolkata,Dishnet Wireless Limited,Aircel Limited,
Paris,Île-de-France,France,75000,48.9,2.4,Europe/Paris,Societe Francaise Du Radiotelephone - SFR SA,SFR User Data,AS15557 Societe Francaise Du Radiotelephone - SFR SA
Abu Dhabi,Abu Dhabi,United Arab Emirates,,24.5,54.4,Asia/Dubai,Emirates Telecommunications Corporation,,AS5384 EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC
Haddington,Scotland,United Kingdom,EH41,55.9,-2.8,Europe/London,BorderLink Broadband Limited,,AS205847 GoFibre Holdings Limited
Sekupang,Riau Islands,Indonesia,,1.1,104.0,Asia/Pontianak,PT Solnet Indonesia,,AS9422 PT SOLNET INDONESIA
,,,,,,,,,
The Bronx,New York,United States,10467,40.9,-73.9,America/New_York,Cablevision Systems Corp.,Purdue Pharamacy,AS54004 Optimum WiFi
Mexico City,Mexico City,Mexico,11930,19.4,-99.2,America/Mexico_City,"Mexico Red de Telecomunicaciones, S. de R.L. de C.V.","Mexico Red de Telecomunicaciones, S. de R.L. de C.V","AS13591 Mexico Red de Telecomunicaciones, S. de R.L. de C.V."
Reston,Virginia,United States,20196,39.0,-77.4,America/New_York,Sprint,Sprint,
Banqiao,Taipei,Taiwan,,25.0,121.5,Asia/Taipei,"Far EastTone Telecommunication Co., Ltd.","Far EasTone Telecommunication Co., Ltd.","AS9674 Far EastTone Telecommunication Co., Ltd."
,,,,,,,,,
Fort Collins,Colorado,United States,80526,40.6,-105.1,America/Denver,USDA,USDA Office of Operations,AS4152 USDA
