Region,Country,ISP,Organization,Autonomous System,Postal Code,Latitude,Longitude,count
Aichi,Japan,KATCH Network Inc.,KATCH,AS59108 KATCH NETWORK INC.,46******,35.179,136.894,1
Alabama,United States,AT&T Corp.,Charter Comms - BHM,AS6389 AT&T Corp.,35***,33.479,-86.788,1
Alabama,United States,DoD Network Information Center,Air Force Systems Networking,AS367 DoD Network Information Center,36***,32.403,-86.238,2
Alabama,United States,DoD Network Information Center,Air Force Systems Networking,AS56 DoD Network Information Center,36***,32.403,-86.238,1
Alabama,United States,DoD Network Information Center,Air Force Systems Networking,AS721 DoD Network Information Center,36***,32.403,-86.238,3
Alabama,United States,DoD Network Information Center,Air Force Systems Networking,AS749 DoD Network Information Center,36***,32.403,-86.238,2
Alabama,United States,Google Fiber Inc.,Google Fiber Inc,AS16591 Google Fiber Inc.,35***,34.732,-86.565,1
Alabama,United States,Mediacom Communications,MEDIACOM,AS30036 Mediacom Communications Corp,36***,31.129,-87.096,1
Alabama,United States,Sprint,Alanet,AS1239 Sprint,36***,31.223,-85.39,1
Alabama,United States,"TekLinks, Inc.","TekLinks, Inc","AS33606 TekLinks, Inc.",35***,33.894,-87.167,1
Alabama,United States,WideOpenWest Finance LLC,WideOpenWest Finance LLC,AS12083 WideOpenWest Finance LLC,35***,34.732,-86.565,1
Alaska,United States,"AT&T Services, Inc.",Alascom,"AS7018 AT&T Services, Inc.",99***,61.231,-149.881,1
Alberta,Canada,Elk Island Public Schools Regional Division #14,Elk Island Public Schools Regional Division,AS54605 The Board of Trustees of Elk Island Public Schools,T8*,53.512,-113.332,1
Alberta,Canada,Reserved AS,Edmonton Power,AS23448 ASN-EPCOR,T5*,53.541,-113.507,1
Alberta,Canada,TELUS Communications Inc,TELUS-DSL-EDTNABXM,AS852 TELUS Communications Inc.,T5*,53.556,-113.484,1
Alberta,Canada,TELUS Communications Inc,TELUS-FIBRE-CLGRAB49,AS852 TELUS Communications Inc.,T2*,50.883,-114.033,1
Alberta,Canada,TELUS Communications Inc,TELUS-FIBRE-EDTNABXW,AS852 TELUS Communications Inc.,T5*,53.517,-113.662,1
Alberta,Canada,TELUS Communications Inc.,TELUS Communications Inc.,AS852 TELUS Communications Inc.,T5*,53.548,-113.597,1
Alberta,Canada,University of Alberta,University of Alberta,AS3359 University of Alberta,T6*,53.459,-113.655,1
Altai Krai,Russia,"JSC Rostelecom regional branch ""Siberia""",Sibirtelecom Co.,AS12389 PJSC Rostelecom,65****,53.73,84.934,1
