Region,Country,ISP,Organization,Autonomous System,Postal Code,Latitude,Longitude,count
Aichi,Japan,KATCH Network Inc.,KATCH,AS59108 KATCH NETWORK INC.,46******,35.2,136.9,1
Alabama,United States,AT&T Corp.,Charter Comms - BHM,AS6389 AT&T Corp.,35***,33.5,-86.8,1
Alabama,United States,DoD Network Information Center,Air Force Systems Networking,AS367 DoD Network Information Center,36***,32.4,-86.2,2
Alabama,United States,DoD Network Information Center,Air Force Systems Networking,AS56 DoD Network Information Center,36***,32.4,-86.2,1
Alabama,United States,DoD Network Information Center,Air Force Systems Networking,AS721 DoD Network Information Center,36***,32.4,-86.2,3
Alabama,United States,DoD Network Information Center,Air Force Systems Networking,AS749 DoD Network Information Center,36***,32.4,-86.2,2
Alabama,United States,Google Fiber Inc.,Google Fiber Inc,AS16591 Google Fiber Inc.,35***,34.7,-86.6,1
Alabama,United States,Mediacom Communications,MEDIACOM,AS30036 Mediacom Communications Corp,36***,31.1,-87.1,1
Alabama,United States,Sprint,Alanet,AS1239 Sprint,36***,31.2,-85.4,1
Alabama,United States,"TekLinks, Inc.","TekLinks, Inc","AS33606 TekLinks, Inc.",35***,33.9,-87.2,1
Alabama,United States,WideOpenWest Finance LLC,WideOpenWest Finance LLC,AS12083 WideOpenWest Finance LLC,35***,34.7,-86.6,1
Alaska,United States,"AT&T Services, Inc.",Alascom,"AS7018 AT&T Services, Inc.",99***,61.2,-149.9,1
Alberta,Canada,Elk Island Public Schools Regional Division #14,Elk Island Public Schools Regional Division,AS54605 The Board of Trustees of Elk Island Public Schools,T8*,53.5,-113.3,1
Alberta,Canada,Reserved AS,Edmonton Power,AS23448 ASN-EPCOR,T5*,53.5,-113.5,1
Alberta,Canada,TELUS Communications Inc,TELUS-DSL-EDTNABXM,AS852 TELUS Communications Inc.,T5*,53.6,-113.5,1
Alberta,Canada,TELUS Communications Inc,TELUS-FIBRE-CLGRAB49,AS852 TELUS Communications Inc.,T2*,50.9,-114.0,1
Alberta,Canada,TELUS Communications Inc,TELUS-FIBRE-EDTNABXW,AS852 TELUS Communications Inc.,T5*,53.5,-113.7,1
Alberta,Canada,TELUS Communications Inc.,TELUS Communications Inc.,AS852 TELUS Communications Inc.,T5*,53.5,-113.6,1
Alberta,Canada,University of Alberta,University of Alberta,AS3359 University of Alberta,T6*,53.5,-113.7,1
Altai Krai,Russia,"JSC Rostelecom regional branch ""Siberia""",Sibirtelecom Co.,AS12389 PJSC Rostelecom,65****,53.7,84.9,1
Altai Krai,Russia,TOMTEL networks,CJSC ER-Telecom Holding Tomsk branch,"AS50512 JSC ""ER-Telecom Holding""",65****,53.3,83.8,1
Amazonas,Brazil,Claro NXT Telecomunicacoes Ltda,Claro NXT Telecomunicacoes Ltda,AS28573 Claro NXT Telecomunicacoes Ltda,69***,-3.1,-60.0,1
Andalusia,Spain,Orange Spain,Jazztel triple play services,AS12479 Orange Espagne SA,21***,37.2,-7.4,1
Andalusia,Spain,Telefonica de Espana SAU,RIMA (Red IP Multi Acceso),AS3352 TELEFONICA DE ESPANA S.A.U.,29***,36.5,-4.6,1
Andhra Pradesh,India,Bharti Airtel Limited,BCL NORTH,AS45609 Bharti Airtel Ltd. AS for GPRS Service,53****,17.7,83.2,1
Anhui,China,USTC,The University of Science and Technology of China,AS24362 CERNET2 IX at University of Science and Technology of China,23****,31.8,117.3,1
Ankara,Türkiye,Dogan Iletisim,Dogan Iletisim Elektronik Servis Hizmetleri A.S.,AS12978 ANDROMEDA TV DIGITAL PLATFORM ISLETMECILIGI A.S.,60**,40.0,32.8,1
Ankara,Türkiye,TurkTelecom,Turk Telekomunikasyon A.S,AS47331 TTNet A.S.,60**,40.0,32.8,1
Antioquia,Colombia,Colombia Móvil,Colombia Móvil,AS27831 Colombia Móvil,54***,6.2,-75.4,1
Antioquia,Colombia,Edatel S.a. E.S.P,Edatel S.a. E.S.P,AS27695 EDATEL S.A. E.S.P,50***,6.2,-75.6,1
Antioquia,Colombia,Telmex Colombia S.A.,Telmex Colombia S.A.,AS10620 Telmex Colombia S.A.,50***,6.3,-75.6,1
Arizona,United States,ARNG-HI,USAISC,AS364 DoD Network Information Center,85***,31.6,-110.4,1
Arizona,United States,"Akamai Technologies, Inc.","Akamai Technologies, Inc.","AS16625 Akamai Technologies, Inc.",85***,33.4,-111.9,1
Arizona,United States,CONUS-YPG,Dren,AS668 DoD Network Information Center,85***,31.6,-110.4,1
Arizona,United States,CONUS-YPG,USAISC,AS749 DoD Network Information Center,85***,31.6,-110.4,13
Arizona,United States,CTNOSC,USAISC,AS367 DoD Network Information Center,85***,31.6,-110.4,1
Arizona,United States,City of Tucson,City of Tucson,AS13918 City of Tucson,85***,32.1,-110.9,1
Arizona,United States,"Comcast Cable Communications, LLC","Comcast Cable Communications, LLC","AS33653 Comcast Cable Communications, LLC",85***,32.4,-111.1,1
Arizona,United States,"Comcast Cable Communications, LLC","Comcast Cable Communications, LLC","AS33653 Comcast Cable Communications, LLC",85***,32.4,-110.9,1
Arizona,United States,Cox Communications Inc.,Cox Communications,AS22773 Cox Communications Inc.,85***,33.5,-112.2,1
Arizona,United States,Cox Communications Inc.,Cox Communications Inc,AS22773 Cox Communications Inc.,85***,33.4,-111.9,1
Arizona,United States,DoD Network Information Center,USAISC,AS306 DoD Network Information Center,85***,31.6,-110.4,1
Arizona,United States,DoD Network Information Center,USAISC,AS357 DoD Network Information Center,85***,31.6,-110.4,1
Arizona,United States,DoD Network Information Center,USAISC,AS367 DoD Network Information Center,85***,31.6,-110.4,3
Arizona,United States,DoD Network Information Center,USAISC,AS721 DoD Network Information Center,85***,31.6,-110.4,12
Arizona,United States,"GoDaddy.com, LLC","GoDaddy.com, LLC","AS26496 GoDaddy.com, LLC",85***,33.3,-111.9,1
Arizona,United States,"Headquarters, USAISC",USAISC,"AS1530 Headquarters, USAISC",85***,31.6,-110.4,1
Arizona,United States,Input Output Flood LLC,Input Output Flood LLC,AS53755 Input Output Flood LLC,85***,33.4,-112.0,1
Arizona,United States,Microsoft Corporation,Microsoft Azure Cloud (westus3),AS8075 Microsoft Corporation,85***,33.4,-112.1,1
Arizona,United States,RCC-C,USAISC,AS367 DoD Network Information Center,85***,31.6,-110.4,1
Arizona,United States,Salt River Project Agricultural Improvement & Power District,Salt River Project Agricultural Improvement and Power District,AS2575 Salt River Project Agricultural Improvement & Power District,85***,33.4,-112.0,1
Arizona,United States,USAREC,USAISC,AS367 DoD Network Information Center,85***,31.6,-110.4,1
Arkansas,United States,"AT&T Services, Inc.",AT&T Corp,"AS7018 AT&T Services, Inc.",72***,34.7,-92.3,1
Arkansas,United States,"Wal-Mart Stores, Inc.","Wal-Mart Stores, Inc.","AS10695 Wal-Mart Stores, Inc.",72***,36.4,-94.2,2
Arkansas,United States,Windstream Communications LLC,Windstream Communications LLC,AS7029 Windstream Communications LLC,72***,34.8,-92.4,1
Auckland,New Zealand,FX VoIP Network,CallPlus Services Limited,AS9790 Two Degrees Networks Limited,10**,-36.9,174.8,1
Auckland,New Zealand,Mercury NZ Limited,Mercury NZ Limited,AS55850 Mercury NZ Limited,10**,-36.9,174.8,1
Auckland,New Zealand,One New Zealand Group Limited,Vfnz SVC,AS9500 One New Zealand Group Limited,10**,-36.8,174.8,1
Auckland,New Zealand,Sky Network Television Ltd,Two Degrees Mobile Limited,AS140220 Sky Network Television Ltd,62*,-36.8,174.8,1
Australian Capital Territory,Australia,ACT Government InTACT Group,ACT Government InTACT Group,AS139344 ACT Government InTACT Group,26**,-35.3,149.1,1
Auvergne-Rhône-Alpes,France,BE YS Cloud France SASU,Almerys,AS200102 BE YS Cloud France SASU,63***,45.8,3.1,1
Auvergne-Rhône-Alpes,France,ESRF-GRENOBLE,The ESRF,AS1942 Renater,38***,45.2,5.7,1
Auvergne-Rhône-Alpes,France,Societe Francaise Du Radiotelephone - SFR SA,SFR SA,AS15557 Societe Francaise Du Radiotelephone - SFR SA,38***,45.1,5.7,1
Auvergne-Rhône-Alpes,France,Societe Francaise Du Radiotelephone - SFR SA,SFR User Data,AS15557 Societe Francaise Du Radiotelephone - SFR SA,69***,45.6,4.8,1
Aveiro,Portugal,PT Comunicacoes S.A,PT Comunicacoes S.A.,AS3243 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,45******,41.0,-8.5,1
Azores,Portugal,Cabo TV Acoreana,nos açores comunicacoes s.a.,"AS42580 NOS ACORES COMUNICACOES, S.A.",96******,37.7,-25.5,1
Baden-Wurttemberg,Germany,Deutsche Telekom AG,Deutsche Telekom AG,AS3320 Deutsche Telekom AG,69***,49.3,8.7,1
Baden-Wurttemberg,Germany,Deutsche Telekom AG,Deutsche Telekom AG,AS3320 Deutsche Telekom AG,70***,48.8,9.2,1
Baden-Wurttemberg,Germany,Deutsche Telekom AG,Deutsche Telekom AG,AS3320 Deutsche Telekom AG,71***,48.9,9.1,1
Baden-Wurttemberg,Germany,Deutsche Telekom AG,Deutsche Telekom AG,AS3320 Deutsche Telekom AG,71***,48.9,9.2,1
Baden-Wurttemberg,Germany,Deutsche Telekom AG,Deutsche Telekom AG,AS3320 Deutsche Telekom AG,74***,49.1,9.2,1
Baden-Wurttemberg,Germany,Deutsche Telekom AG,Deutsche Telekom AG,AS3320 Deutsche Telekom AG,76***,49.0,8.4,1
Baden-Wurttemberg,Germany,Deutsche Telekom AG,Deutsche Telekom AG,AS3320 Deutsche Telekom AG,79***,48.2,7.7,1
Baden-Wurttemberg,Germany,Mercedes-Benz Group AG,Daimler AG,AS31399 Mercedes-Benz Group AG,70***,48.8,9.2,8
