Region,Country,Postal Code,Latitude,Longitude,Timezone,ISP,Organization,Autonomous System
England,United Kingdom,SW*,51.508,-0.128,Europe/London,Trustmarque Solutions Ltd,Trustmarque Solutions Limited,AS196744 Capita Business Services Ltd
Telangana,India,50****,17.996,79.578,Asia/Kolkata,BSNL Internet,,AS9829 National Internet Backbone
South Holland,The Netherlands,25**,52.07,4.301,Europe/Amsterdam,GEMNET,Gemnet B.V.,
Guangdong,China,,23.129,113.264,Asia/Shanghai,CERNET,,AS4538 China Education and Research Network Center
Western Australia,Australia,61**,-32.189,115.969,Australia/Perth,Australian Academic and Research Network,Murdoch Univ,AS7575 Australian Academic and Research Network (AARNet)
Missouri,United States,64***,39.1,-94.579,America/Chicago,"AT&T Services, Inc.",Private Customer - AT&T Internet Services,"AS7018 AT&T Services, Inc."
Florida,United States,33***,25.812,-80.232,America/New_York,"Comcast Cable Communications, LLC","Comcast Cable Communications, LLC","AS20214 Comcast Cable Communications, LLC"
Coahuila,Mexico,27***,25.54,-103.429,America/Monterrey,Uninet S.A. de C.V.,UNINET,AS8151 UNINET
California,United States,94***,37.412,-122.148,America/Los_Angeles,HP Inc.,HP Inc,
Tokyo,Japan,28******,35.674,139.776,Asia/Tokyo,JR East Information Systems Company,JR East Japan Information Systems Company,AS131932 JR East Information Systems Company
,,,,,,,,
Ohio,United States,43***,39.975,-82.895,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Washington,United States,98***,47.623,-122.337,America/Los_Angeles,Amazon.com,"Amazon.com, Inc",
Chungcheongnam-do,South Korea,32*,36.102,127.483,Asia/Seoul,CMB,CMB Chungcheong Broadcasting,AS38133 CMB
Tokyo,Japan,10******,35.691,139.77,Asia/Tokyo,DION (KDDI CORPORATION),KDDI,AS2516 KDDI CORPORATION
Tamil Nadu,India,60****,13.052,80.25,Asia/Kolkata,Dishnet Wireless Limited,Aircel Limited,
Île-de-France,France,75***,48.857,2.352,Europe/Paris,Societe Francaise Du Radiotelephone - SFR SA,SFR User Data,AS15557 Societe Francaise Du Radiotelephone - SFR SA
Abu Dhabi,United Arab Emirates,,24.454,54.377,Asia/Dubai,Emirates Telecommunications Corporation,,AS5384 EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC
Scotland,United Kingdom,EH**,55.919,-2.755,Europe/London,BorderLink Broadband Limited,,AS205847 GoFibre Holdings Limited
Riau Islands,Indonesia,,1.115,103.975,Asia/Pontianak,PT Solnet Indonesia,,AS9422 PT SOLNET INDONESIA
,,,,,,,,
New York,United States,10***,40.873,-73.873,America/New_York,Cablevision Systems Corp.,Purdue Pharamacy,AS54004 Optimum WiFi
Mexico City,Mexico,11***,19.404,-99.242,America/Mexico_City,"Mexico Red de Telecomunicaciones, S. de R.L. de C.V.","Mexico Red de Telecomunicaciones, S. de R.L. de C.V","AS13591 Mexico Red de Telecomunicaciones, S. de R.L. de C.V."
Virginia,United States,20***,38.952,-77.378,America/New_York,Sprint,Sprint,
Taipei,Taiwan,,25.011,121.462,Asia/Taipei,"Far EastTone Telecommunication Co., Ltd.","Far EasTone Telecommunication Co., Ltd.","AS9674 Far EastTone Telecommunication Co., Ltd."
,,,,,,,,
Colorado,United States,80***,40.56,-105.081,America/Denver,USDA,USDA Office of Operations,AS4152 USDA
Kanagawa,Japan,22******,35.464,139.626,Asia/Tokyo,UCOM Corp.,broadgate,AS17506 ARTERIA Networks Corporation
Ōsaka,Japan,54******,34.684,135.524,Asia/Tokyo,Softbank BB Corp.,SOFTBANK Corp,AS17676 SoftBank Corp.
,,,,,,,,
Henan,China,45****,34.747,113.625,Asia/Shanghai,CNC Group CHINA169 Henan Province Network,,AS4837 CHINA UNICOM China169 Backbone
Illinois,United States,60***,41.878,-87.63,America/Chicago,"T-Mobile USA, Inc.","T-Mobile USA, Inc.","AS21928 T-Mobile USA, Inc."
Andalusia,Spain,21***,37.211,-7.402,Europe/Madrid,Orange Spain,Jazztel triple play services,AS12479 Orange Espagne SA
,,,,,,,,
Minas Gerais,Brazil,36***,-21.744,-43.434,America/Sao_Paulo,V tal,V tal,AS7738 V tal
Arizona,United States,85***,31.555,-110.35,America/Phoenix,CONUS-YPG,USAISC,AS749 DoD Network Information Center
,,,,,,,,
Colorado,United States,81***,38.083,-102.624,America/Denver,"CenturyLink Communications, LLC","CenturyLink Communications, LLC","AS22561 CenturyLink Communications, LLC"
Ohio,United States,43***,39.975,-82.895,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Washington,United States,98***,47.622,-122.337,America/Los_Angeles,Amazon Technologies Inc.,Amazon Technologies Inc,
Île-de-France,France,75***,48.832,2.408,Europe/Paris,Orange,,AS3215 Orange S.A.
Wisconsin,United States,54***,44.496,-87.927,America/Chicago,Charter Communications,Spectrum,AS10796 Charter Communications Inc
England,United Kingdom,BS**,51.548,-2.558,Europe/London,EE Limited,,
,,,,,,,,
Auvergne-Rhône-Alpes,France,38***,45.207,5.693,Europe/Paris,ESRF-GRENOBLE,The ESRF,AS1942 Renater
Rio de Janeiro,Brazil,,-22.903,-43.219,America/Sao_Paulo,TIM S/A,Tim Celular S.A.,AS26615 TIM S/A
Guangdong,China,,22.543,114.058,Asia/Shanghai,China Mobile,China Mobile Communications Corporation,"AS9808 China Mobile Communications Group Co., Ltd."
,,,,,,,,
Beijing,China,,39.9,116.334,Asia/Shanghai,North Star Information Hi.tech Ltd. Co,North Star Information Hi.tech Ltd. Co,
Madrid,Spain,28***,40.451,-3.602,Europe/Madrid,VODAFONE-NETWORK,,AS12430 VODAFONE ESPANA S.A.U.
Catalonia,Spain,80**,41.395,2.197,Europe/Madrid,"VODAFONE ONO, S.A",Ono,"AS6739 VODAFONE ONO, S.A."
Guangdong,China,,22.556,114.058,Asia/Shanghai,Hangzhou Alibaba Advertising Co,"Aliyun Computing Co., LTD","AS37963 Hangzhou Alibaba Advertising Co.,Ltd."
North Holland,The Netherlands,11**,52.277,4.747,Europe/Amsterdam,Liberty Global B.V.,Liberty Global B.V,AS6830 Liberty Global B.V.
