0,<10%,*
1,<10%,*
2,<10%,*
3,<10%,*
4,<10%,*
5,<10%,*
6,<10%,*
7,<10%,*
8,<10%,*
9,<10%,*
10,10-15%,*
11,10-15%,*
12,10-15%,*
13,10-15%,*
14,10-15%,*
15,10-15%,*
16,>15%,*
17,>15%,*
18,>15%,*
19,>15%,*
20,>15%,*
21,>15%,*
22,>15%,*
23,>15%,*
24,>15%,*
25,>15%,*
26,>15%,*
27,>15%,*
28,>15%,*
29,>15%,*
30,>15%,*
31,>15%,*
32,>15%,*
33,>15%,*
34,>15%,*
35,>15%,*
36,>15%,*
37,>15%,*
38,>15%,*
39,>15%,*
40,>15%,*
41,>15%,*
42,>15%,*
43,>15%,*
44,>15%,*
45,>15%,*
46,>15%,*
47,>15%,*
48,>15%,*
49,>15%,*
