1,Secondary,Secondary/Basic,*
2,Higher Ed,Higher Ed,*
3,Higher Ed,Higher Ed,*
4,Higher Ed,Higher Ed,*
5,Higher Ed,Higher Ed,*
6,Higher Ed,Higher Ed,*
7,Other/Unknown,Other/Unknown,*
8,Other/Unknown,Other/Unknown,*
9,Basic/Lower,Secondary/Basic,*
10,Basic/Lower,Secondary/Basic,*
11,Basic/Lower,Secondary/Basic,*
12,Basic/Lower,Secondary/Basic,*
13,Other/Unknown,Other/Unknown,*
14,Basic/Lower,Secondary/Basic,*
15,Basic/Lower,Secondary/Basic,*
16,Other/Unknown,Other/Unknown,*
17,Other/Unknown,Other/Unknown,*
18,Other/Unknown,Other/Unknown,*
19,Basic/Lower,Secondary/Basic,*
20,Other/Unknown,Other/Unknown,*
21,Other/Unknown,Other/Unknown,*
22,Other/Unknown,Other/Unknown,*
23,Other/Unknown,Other/Unknown,*
24,Other/Unknown,Other/Unknown,*
25,Other/Unknown,Other/Unknown,*
26,Basic/Lower,Secondary/Basic,*
27,Basic/Lower,Secondary/Basic,*
28,Other/Unknown,Other/Unknown,*
29,Basic/Lower,Secondary/Basic,*
30,Basic/Lower,Secondary/Basic,*
31,Other/Unknown,Other/Unknown,*
32,Other/Unknown,Other/Unknown,*
33,Other/Unknown,Other/Unknown,*
34,Other/Unknown,Other/Unknown,*
35,Basic/Lower,Secondary/Basic,*
36,Basic/Lower,Secondary/Basic,*
37,Basic/Lower,Secondary/Basic,*
38,Basic/Lower,Secondary/Basic,*
39,Higher Ed,Higher Ed,*
40,Higher Ed,Higher Ed,*
41,Higher Ed,Higher Ed,*
42,Higher Ed,Higher Ed,*
43,Higher Ed,Higher Ed,*
44,Higher Ed,Higher Ed,*
