0.0,"Reference","Household","*"
1.0,"Spouse","Immediate-Family","*"
2.0,"Child","Immediate-Family","*"
3.0,"Child","Immediate-Family","*"
4.0,"Child","Immediate-Family","*"
5.0,"Sibling","Extended-Family","*"
6.0,"Parent","Extended-Family","*"
7.0,"Grandchild","Extended-Family","*"
8.0,"In-law","Extended-Family","*"
9.0,"In-law","Extended-Family","*"
10.0,"Other-Relative","Extended-Family","*"
11.0,"Roommate","Non-Relative","*"
12.0,"Roommate","Non-Relative","*"
13.0,"Partner","Non-Relative","*"
14.0,"Foster-Child","Non-Relative","*"
15.0,"Other-Non-Relative","Non-Relative","*"
16.0,"Institutionalized","Group-Quarters","*"
17.0,"Non-Institutionalized","Group-Quarters","*"
