0.634,Low (<=1),*
0.635,Low (<=1),*
0.636,Low (<=1),*
0.637,Low (<=1),*
0.638,Low (<=1),*
0.639,Low (<=1),*
0.64,Low (<=1),*
0.642,Low (<=1),*
0.643,Low (<=1),*
0.644,Low (<=1),*
0.645,Low (<=1),*
0.646,Low (<=1),*
0.649,Low (<=1),*
0.65,Low (<=1),*
0.651,Low (<=1),*
0.652,Low (<=1),*
0.653,Low (<=1),*
0.654,Low (<=1),*
0.655,Low (<=1),*
0.659,Low (<=1),*
0.663,Low (<=1),*
0.668,Low (<=1),*
0.672,Low (<=1),*
0.677,Low (<=1),*
0.682,Low (<=1),*
0.683,Low (<=1),*
0.684,Low (<=1),*
0.685,Low (<=1),*
0.688,Low (<=1),*
0.69,Low (<=1),*
0.692,Low (<=1),*
0.695,Low (<=1),*
0.697,Low (<=1),*
0.699,Low (<=1),*
0.7,Low (<=1),*
0.701,Low (<=1),*
0.702,Low (<=1),*
0.704,Low (<=1),*
0.706,Low (<=1),*
0.707,Low (<=1),*
0.708,Low (<=1),*
0.709,Low (<=1),*
0.71,Low (<=1),*
0.711,Low (<=1),*
0.712,Low (<=1),*
0.713,Low (<=1),*
0.714,Low (<=1),*
0.715,Low (<=1),*
0.716,Low (<=1),*
0.717,Low (<=1),*
0.718,Low (<=1),*
0.719,Low (<=1),*
0.72,Low (<=1),*
0.721,Low (<=1),*
0.722,Low (<=1),*
0.723,Low (<=1),*
0.724,Low (<=1),*
0.727,Low (<=1),*
0.728,Low (<=1),*
0.729,Low (<=1),*
0.73,Low (<=1),*
0.731,Low (<=1),*
0.732,Low (<=1),*
0.733,Low (<=1),*
0.735,Low (<=1),*
0.737,Low (<=1),*
0.739,Low (<=1),*
0.74,Low (<=1),*
0.741,Low (<=1),*
0.742,Low (<=1),*
0.743,Low (<=1),*
0.744,Low (<=1),*
0.748,Low (<=1),*
0.749,Low (<=1),*
0.75,Low (<=1),*
0.752,Low (<=1),*
0.753,Low (<=1),*
0.754,Low (<=1),*
0.755,Low (<=1),*
0.761,Low (<=1),*
0.762,Low (<=1),*
0.766,Low (<=1),*
0.767,Low (<=1),*
0.768,Low (<=1),*
0.77,Low (<=1),*
0.771,Low (<=1),*
0.773,Low (<=1),*
0.778,Low (<=1),*
0.781,Low (<=1),*
0.782,Low (<=1),*
0.788,Low (<=1),*
0.79,Low (<=1),*
