0.0,"None","No Schooling","No education","*"
1.0,"None","No Schooling","No education","*"
2.0,"Preschool","Primary School","Primary education","*"
3.0,"Preschool","Primary School","Primary education","*"
4.0,"1st-4th","Primary School","Primary education","*"
5.0,"1st-4th","Primary School","Primary education","*"
6.0,"1st-4th","Primary School","Primary education","*"
7.0,"1st-4th","Primary School","Primary education","*"
8.0,"5th-6th","Primary School","Primary education","*"
9.0,"5th-6th","Primary School","Primary education","*"
10.0,"7th-8th","High School","Secondary education","*"
11.0,"7th-8th","High School","Secondary education","*"
12.0,"9th","High School","Secondary education","*"
13.0,"10th","High School","Secondary education","*"
14.0,"11th","High School","Secondary education","*"
15.0,"12th","High School","Secondary education","*"
16.0,"HS-grad","High School","Secondary education","*"
17.0,"HS-grad","High School","Secondary education","*"
18.0,"Some-college","Undergraduate","Higher education","*"
19.0,"Some-college","Undergraduate","Higher education","*"
20.0,"Assoc-acdm","Professional Education","Higher education","*"
21.0,"Bachelors","Undergraduate","Higher education","*"
22.0,"Masters","Graduate","Higher education","*"
23.0,"Prof-school","Professional Education","Higher education","*"
24.0,"Doctorate","Graduate","Higher education","*"
